word,reading,meaning,level,social_context,heatmap_data,insight_text,created_at
亜両面,あリャンメン,"inferior double-sided shape; incomplete chow that may be completed by one of eight tiles of two types, two of which tiles are already consumed by the hand's pair; tile pattern composed of a complete chow and an additional tile of its lowest or highest rank (e.g. 3345 or 3455)",N2,"{'casual': {'reason': '仅限于麻将爱好者之间交流战术或牌局情况时使用。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '友人・同僚'}, 'formal': {'reason': '受众极其狭窄的竞技词汇，不具备公共场合的通用性。', 'allowed': False, 'label_ja': 'フォーマル', 'label_zh': '店員・陌生人'}, 'business': {'reason': '属于硬核娱乐术语，除非对方也是麻友，否则极度失礼。', 'allowed': False, 'label_ja': 'ビジネス', 'label_zh': '上司・目上'}}","{'SNS/麻将社区': 80, '一般日常对话': 1, '麻将馆/竞技场合': 98, '游戏动漫/斗牌题材': 55}",“亜両面（あリャンメン）”是日式麻将【麻雀】中的专业术语。它描述的是由一个顺子加上与其重复的一张牌（如3345或3455）构成的特定搭子。虽然表面看起来是两面听牌，但由于其中一张有效牌已被自己作为对子使用，实际听牌数会变少。该词在普通交流中毫无用武之地，学习者需注意其特殊的读法（非标准训读），它保留了中国麻将术语对“两面”的读音影响。,2026-05-12 12:14:36.377354+00:00
液浸,えきしん,"immersion; dipping; in microscopy, immersing both the objective lens and the specimen in a liquid to increase the numerical aperture; in photolithography, filling the air gap between the final lens and the wafer surface with a liquid to increase the resolution",N2,"{'casual': {'reason': '该词为高度专业化的工业学术语，日常口语聊天极少涉及。', 'allowed': False, 'label_ja': 'カジュアル', 'label_zh': '友人・同僚'}, 'formal': {'reason': '广泛出现在学术论文、技术规格说明书及正式的新闻报道中。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '店員・陌生人'}, 'business': {'reason': '常用于半导体、精密制造及数据中心散热相关的技术方案讨论。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '上司・目上'}}","{'日常社交': 2, '学术论文/科研': 88, 'IT设备/散热技术': 75, '半导体/工业制造': 95}",“液浸”是一个核心意为“浸没在液体中”的专业术语。在N2级别中，它多见于科技类阅读材料。最著名的应用场景是半导体制造中的【液浸露光】（浸没式光刻）以及服务器运维中的【液浸冷却】。普通学习者只需记住其物理状态含义，而理工科或制造业背景的学者则需将其作为行业关键核心词掌握。该词体现了日语在尖端领域表达的精确性。,2026-05-12 12:14:30.783252+00:00
三公社五現業,さんこうしゃごげんぎょう,"three public corporations (Japan National Railways, Japan Monopoly Corporation, and Nippon Telegraph and Telephone) and five government enterprises (postal services, mintage, printing, management of state-owned forests/fields, and monopolization of alcohol)",N2,"{'casual': {'reason': '属于专业历史经济术语，在日常私人社交中显得极其突兀。', 'allowed': False, 'label_ja': 'カジュアル', 'label_zh': '友人・同僚'}, 'formal': {'reason': '常见于学术报告、法律文献或新闻深度报道等严肃且正式的场合。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '店員・陌生人'}, 'business': {'reason': '在涉及日本经济史、劳资关系或民营化改革等专业研讨中使用。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '上司・目上'}}","{'日常对话': 1, '政治经济研讨': 60, '法律/劳动政策': 45, '社会科历史教材': 98, '公务员/行政考证': 85}",“三公社五现业”是理解日本近现代经济史的重要【历史术语】。它指的是20世纪80年代中曾根康弘政府推行民营化改革前的三家公共法人（如现在的JR、NTT、JT的前身）与五项政府直营事业。虽然在现代日常生活中几乎绝迹，但它是N2/N1级别考试及社会常识中的高频考点。理解此词有助于掌握日本从“官营”向“民营”转型的社会结构变迁。,2026-05-12 12:14:25.788396+00:00
方違い,かたたがい,"setting off the night before one normally would have departed, travelling in a different direction, spending the night there, and leaving for one's destination in the morning (done to avoid travelling in an unlucky direction; a common practice during the Heian period)",N2,"{'casual': {'reason': '用于讨论历史、古典文学或阴阳师相关ACG话题。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '友人・同僚'}, 'formal': {'reason': '由于涉及古代迷信色彩，不符合现代正式场合的语境。', 'allowed': False, 'label_ja': 'フォーマル', 'label_zh': '店員・陌生人'}, 'business': {'reason': '属于古代民俗概念，与现代商务职场交流完全脱节。', 'allowed': False, 'label_ja': 'ビジネス', 'label_zh': '上司・目上'}}","{'现代日常生活': 2, '动漫/游戏/影视': 75, '古典文学/历史研究': 95, '旅游文化/民俗介绍': 35}",“方違い”源于日本平安时代的阴阳道思想。当时人们为避开凶煞方位，会特意先朝别处移动并留宿，以改变行程方向。在现代语境下，该词主要作为【古語】出现在文学、历史或《阴阳师》等题材作品中。掌握此词不仅能应对N2及以上阅读，更能深度理解日本古代特有的“忌讳”文化与平安贵族的生活逻辑。,2026-05-12 12:14:21.393420+00:00
天一,てんいち,"Ten'ichijin; Nakagami; god of fortune in Onmyōdō who descends to the northeast on the 46th day of the sexagenary cycle and completes a clockwise circuit, spending five days on each cardinal point and six days on each ordinal point, returning to heaven from the north on the 30th day of the next sexagenary cycle; travelling in the direction of Ten'ichijin is considered unlucky",N2,"{'casual': {'reason': '探讨民俗、占卜或提及知名拉面店简称时可用。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '友人・同僚'}, 'formal': {'reason': '现代日语中已非通用语，正式场合使用易产生歧义。', 'allowed': False, 'label_ja': 'フォーマル', 'label_zh': '店員・陌生人'}, 'business': {'reason': '属于特定宗教民俗词汇，商务场合过于偏僻生疏。', 'allowed': False, 'label_ja': 'ビジネス', 'label_zh': '上司・目上'}}","{'历史文学': 65, '日常对话': 5, '宗教/民俗': 90}",「天一」在现代日语中多作为阴阳道神明「天一神（てんいちじん）」的略称，指代掌管方位吉凶的神祇。虽然在古代文学或占卜中具有重要地位，但在现代日常生活中极少被提及。需要注意【俗】用：现代年轻人常将其作为知名拉面店「天下一品」的缩写使用。学习者需根据语境区分是古风词汇还是现代生活俚语。,2026-05-12 12:14:21.393420+00:00
方違え,かたたがえ,"setting off the night before one normally would have departed, travelling in a different direction, spending the night there, and leaving for one's destination in the morning (done to avoid travelling in an unlucky direction; a common practice during the Heian period)",N2,"{'casual': {'reason': '可用于讨论平安时代题材的动漫、小说或历史话题。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '友人・同僚'}, 'formal': {'reason': '属于特定的民俗或学术词汇，不适合日常正式社交。', 'allowed': False, 'label_ja': 'フォーマル', 'label_zh': '店員・陌生人'}, 'business': {'reason': '现代商务场合不使用此古语，会产生强烈的违和感。', 'allowed': False, 'label_ja': 'ビジネス', 'label_zh': '上司・目上'}}","{'动漫/时代剧': 75, '现代日常对话': 2, '古典文学/历史研究': 95, '神社/传统文化宣传': 50}",“方違え”是源于平安时代阴阳道的迷信习俗。古人为避开所谓“凶位”（天一神等神明所在的方位），会先向其他方向行走并留宿，改变出发地后再前往目的地。虽然在现代日本已基本绝迹，但它是理解《源氏物语》等古典文学及平安背景ACG作品的关键文化词。学习时需注意其浓厚的历史仪式感，这反映了古代日本人对方位禁忌的极度敬畏。,2026-05-12 12:14:21.393420+00:00
天一神,てんいちじん,"Ten'ichijin; Nakagami; god of fortune in Onmyōdō who descends to the northeast on the 46th day of the sexagenary cycle and completes a clockwise circuit, spending five days on each cardinal point and six days on each ordinal point, returning to heaven from the north on the 30th day of the next sexagenary cycle; travelling in the direction of Ten'ichijin is considered unlucky",N2,"{'casual': {'reason': '仅限讨论历史、动漫或阴阳师相关话题时使用。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '友人・同僚'}, 'formal': {'reason': '话题过于生僻且具有宗教色彩，会导致交流障碍。', 'allowed': False, 'label_ja': 'フォーマル', 'label_zh': '店員・陌生人'}, 'business': {'reason': '涉及迷信且属于极冷门术语，不适合职场沟通。', 'allowed': False, 'label_ja': 'ビジネス', 'label_zh': '上司・目上'}}","{'日常对话': 1, '民俗/历史研究': 95, '神社/祭祀场合': 40, '古典文学/轻小说': 70}",「天一神」是日本阴阳道中掌管方位吉凶的神祇，在现代日语中属于生僻的文化词汇。虽然被归类在N2级别，但在【一般生活】中极少使用。该词多出现在历史剧或以平安时代为背景的游戏动漫中。学习者需注意其相关的“方违（かたたがえ）”习俗，了解其在古代日本对出行的约束力，将其作为文化背景知识掌握而非口语词汇。,2026-05-12 12:14:21.202101+00:00
加工交易,かこうこうえき,"processing trade (importing all or part of raw and auxiliary materials, parts, components, accessories, and packaging materials in bond from a foreign company, and re-exporting the finished products after processing or assembly for distribution and sale by that foreign company)",N2,"{'casual': {'reason': '属于硬核经济学术语，日常闲聊使用会显得极其违和。', 'allowed': False, 'label_ja': 'カジュアル', 'label_zh': '友人・同僚'}, 'formal': {'reason': '常见于正式的经济报道、国际会议或官方学术交流场合。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '店員・陌生人'}, 'business': {'reason': '常用于制造业、物流贸易行业的业务汇报与方案讨论。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '上司・目上'}}","{'日常生活': 5, '商务会议/贸易谈判': 95, '学术教材/政策文件': 70, '经济新闻/专业报刊': 85}",「加工交易（かこうこうえき）」是一个专业性极强的国际贸易术语，指进口原材料经加工后再出口的模式。在日文中，虽然【加工貿易（かこうぼうえき）】的使用频率更高且更为通用，但「加工交易」常出现在特定关税制度或海关监管的语境下。学习者需注意其商务逻辑：侧重于原料与产成品的价值增值过程。该词不具备口语属性，建议仅在职场报告或阅读深度经济评论时使用。,2026-05-12 12:14:20.596951+00:00
庚申待,こうしんまち,kōshin-machi; staying awake on the eve of the 57th day of the sexagenary cycle to prevent the three worms that were said to inhabit the human gut from reporting one's wrongdoings to the gods; a tradition that began among nobility in the Heian period and became widespread during the Edo period,N2,"{'casual': {'reason': '在讨论历史、民俗话题或参观古迹时可作为文化词汇提及。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '友人・同僚'}, 'formal': {'reason': '词义生僻且具有浓厚的宗教民俗色彩，不适合作为一般社交辞令。', 'allowed': False, 'label_ja': 'フォーマル', 'label_zh': '店員・陌生人'}, 'business': {'reason': '属于特定的古代民间信仰词汇，现代商务场合完全无使用机会。', 'allowed': False, 'label_ja': 'ビジネス', 'label_zh': '上司・目上'}}","{'日常闲谈': 5, '历史文化研究': 95, '神社佛阁旅游': 85, '古典文学/时代剧': 60}",「庚申待」是日本源于道教“守庚申”思想的民间信仰，指在庚申之日彻夜不眠，以防体内的“三尸虫”趁睡梦向天帝控诉罪行。该习俗从平安贵族流传至江户平民，极具时代色彩。虽然现代生活中该习俗已基本消失，但日本各地保留的【庚申塔】石碑仍是重要的文化印记。掌握此词有助于深度理解日本传统社会中的神道教与外来信仰的融合。,2026-05-12 12:14:18.999588+00:00
稟議制度,りんぎせいど,the system in government offices and business corporations in which draft proposals are prepared by someone in charge of the matter and circulated for collective deliberation and final approval by particular (designated) officials or executives,N2,"{'casual': {'reason': '与同事吐槽审批流程繁琐或询问进度时经常使用。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '友人・同僚'}, 'formal': {'reason': '用于正式介绍日本经营模式、行政体制或学术研讨中。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '店員・陌生人'}, 'business': {'reason': '汇报工作、申请经费或推进项目时不可或缺的核心词。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '上司・目上'}}","{'商务办公': 98, '日常对话': 20, '新闻/报纸': 85, '管理学研究': 75}",“稟議制度”是日本企业文化中极具代表性的“下意上达”式决策机制。基层起草方案（稟議書），通过跨部门会签（根回し）获得相关负责人盖章，最终由高层终审。这种制度虽利于凝聚共识、分担责任，但也常因决策链条长、效率低被诟病。它是理解日企科层制和集体协作逻辑的关键，是N2及商务日语的重点词汇。,2026-05-12 12:14:08.430516+00:00
略,ほぼ,大略，大体上,N1,"{'casual': {'reason': '口语里能用，但要看语气轻重。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '副词在书面描述中通常更稳定。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '放在说明、评价、汇报里较自然。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'说明文': 75, '日常会话': 95, '朋友闲聊': 85}",「略」偏向给整句话加一层说话人的判断或语气，不只是补充意思。它常见于描写印象、推断或评价，所以真正自然的地方往往不在单独解释词义，而在它放进句子后带出的语感变化。和别的副词相比，用它时要注意句子整体的温度：如果前后本来很口语、很轻，它可能会显得稍微用力；如果前后是说明、评论、叙述，它就会更顺。读的时候可以把重点放在它怎样影响整句口气，而不只是记住“大略，大体上”这个释义。,2026-05-03 06:26:08.744074+00:00
閃く,ひらめく,闪；飘动；忽然想出,N2,"{'casual': {'reason': '放在生活口语里通常自然。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '放在书面句子里问题不大。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '需看搭配，但一般可用于说明动作或状态。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'叙事描写': 85, '抽象讨论': 95, '日常会话': 75}",「閃く」的关键在于它进入句子后的用法位置，而不只是词典里的中文意思“闪；飘动；忽然想出”。和许多同类表达一样，它真正自然的时候往往依赖搭配：前面接什么，后面跟什么，语气会不会太重。比起单独记意思，更值得留意的是例句里它出现时整句是叙述、判断还是描写，这会直接影响它用出来的质感。,2026-05-03 06:26:08.744074+00:00
不作,ふさく,歉收，收成不好,N2,"{'casual': {'reason': '名词本身较中性，口语里容易落地。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '名词在书面表达中通常兼容度高。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '只要搭配自然，多数场景可用。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'说明文': 75, '新闻报道': 95, '社会话题': 85}",「不作」作为名词时，重点不只在字面意思“歉收，收成不好”，还在它常常落进什么语境里。这个词更自然的时候，通常会和具体动作、状态或评价搭在一起，而不是孤零零地摆着。看例句时可以留意它前后最容易靠近哪些动词或修饰语，那些搭配比单独背释义更能决定你以后用出来像不像日语。,2026-05-03 06:26:08.744074+00:00
踏み出す,ふみだす,迈出；出发；开始,N2,"{'casual': {'reason': '放在生活口语里通常自然。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '放在书面句子里问题不大。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '需看搭配，但一般可用于说明动作或状态。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'叙事描写': 80, '抽象讨论': 90, '日常会话': 70}",「踏み出す」的关键在于它进入句子后的用法位置，而不只是词典里的中文意思“迈出；出发；开始”。和许多同类表达一样，它真正自然的时候往往依赖搭配：前面接什么，后面跟什么，语气会不会太重。比起单独记意思，更值得留意的是例句里它出现时整句是叙述、判断还是描写，这会直接影响它用出来的质感。,2026-05-03 06:26:08.744074+00:00
引き続き,ひきつづき,继续，接着；连续,N1,"{'casual': {'reason': '口语里能用，但要看语气轻重。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '副词在书面描述中通常更稳定。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '放在说明、评价、汇报里较自然。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'会议汇报': 75, '职场沟通': 85, '邮件书面': 95}",「引き続き」偏向给整句话加一层说话人的判断或语气，不只是补充意思。它常见于描写印象、推断或评价，所以真正自然的地方往往不在单独解释词义，而在它放进句子后带出的语感变化。和别的副词相比，用它时要注意句子整体的温度：如果前后本来很口语、很轻，它可能会显得稍微用力；如果前后是说明、评论、叙述，它就会更顺。读的时候可以把重点放在它怎样影响整句口气，而不只是记住“继续，接着；连续”这个释义。,2026-05-03 06:26:08.744074+00:00
不器用,ぶきよう,笨拙，不熟练，不灵巧,N2,"{'casual': {'reason': '名词本身较中性，口语里容易落地。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '名词在书面表达中通常兼容度高。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '只要搭配自然，多数场景可用。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'人物描写': 85, '日常会话': 95, '朋友闲聊': 75}",「不器用」作为名词时，重点不只在字面意思“笨拙，不熟练，不灵巧”，还在它常常落进什么语境里。这个词更自然的时候，通常会和具体动作、状态或评价搭在一起，而不是孤零零地摆着。看例句时可以留意它前后最容易靠近哪些动词或修饰语，那些搭配比单独背释义更能决定你以后用出来像不像日语。,2026-05-03 06:26:08.744074+00:00
柔らか,やわらか,柔软的；柔和的,N2,"{'casual': {'reason': '放在生活口语里通常自然。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '放在书面句子里问题不大。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '需看搭配，但一般可用于说明动作或状态。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'人物描写': 90, '抽象讨论': 80, '日常会话': 85}",「柔らか」的关键在于它进入句子后的用法位置，而不只是词典里的中文意思“柔软的；柔和的”。和许多同类表达一样，它真正自然的时候往往依赖搭配：前面接什么，后面跟什么，语气会不会太重。比起单独记意思，更值得留意的是例句里它出现时整句是叙述、判断还是描写，这会直接影响它用出来的质感。,2026-05-03 06:26:08.744074+00:00
伸べる,のべる,伸展，伸开，伸出,N2,"{'casual': {'reason': '放在生活口语里通常自然。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '放在书面句子里问题不大。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '需看搭配，但一般可用于说明动作或状态。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'人物描写': 80, '叙事描写': 70, '日常会话': 90}",「伸べる」的关键在于它进入句子后的用法位置，而不只是词典里的中文意思“伸展，伸开，伸出”。和许多同类表达一样，它真正自然的时候往往依赖搭配：前面接什么，后面跟什么，语气会不会太重。比起单独记意思，更值得留意的是例句里它出现时整句是叙述、判断还是描写，这会直接影响它用出来的质感。,2026-05-03 06:26:08.744074+00:00
ぬるい,ぬるい,微温的，不凉不热的；不严厉的,N2,"{'casual': {'reason': '放在生活口语里通常自然。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '放在书面句子里问题不大。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '需看搭配，但一般可用于说明动作或状态。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'日常会话': 95, '吐槽/调侃': 85, '职场潜规则': 75}",「ぬるい」的关键在于它进入句子后的用法位置，而不只是词典里的中文意思“微温的，不凉不热的；不严厉的”。和许多同类表达一样，它真正自然的时候往往依赖搭配：前面接什么，后面跟什么，语气会不会太重。比起单独记意思，更值得留意的是例句里它出现时整句是叙述、判断还是描写，这会直接影响它用出来的质感。,2026-05-03 06:26:08.744074+00:00
悩み,なやみ,烦恼，苦恼，痛苦,N2,"{'casual': {'reason': '名词本身较中性，口语里容易落地。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '名词在书面表达中通常兼容度高。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '只要搭配自然，多数场景可用。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'情绪表达': 75, '日常会话': 85, '朋友闲聊': 95}",「悩み」作为名词时，重点不只在字面意思“烦恼，苦恼，痛苦”，还在它常常落进什么语境里。这个词更自然的时候，通常会和具体动作、状态或评价搭在一起，而不是孤零零地摆着。看例句时可以留意它前后最容易靠近哪些动词或修饰语，那些搭配比单独背释义更能决定你以后用出来像不像日语。,2026-05-03 06:26:08.744074+00:00
ノーマル,ノーマル,正常的，普通的,N2,"{'casual': {'reason': '放在生活口语里通常自然。', 'allowed': True, 'label_ja': 'カジュアル', 'label_zh': '朋友间'}, 'formal': {'reason': '放在书面句子里问题不大。', 'allowed': True, 'label_ja': 'フォーマル', 'label_zh': '正式书面'}, 'business': {'reason': '需看搭配，但一般可用于说明动作或状态。', 'allowed': True, 'label_ja': 'ビジネス', 'label_zh': '职场表达'}}","{'游戏': 95, '抽象讨论': 75, '日常会话': 85}",「ノーマル」的关键在于它进入句子后的用法位置，而不只是词典里的中文意思“正常的，普通的”。和许多同类表达一样，它真正自然的时候往往依赖搭配：前面接什么，后面跟什么，语气会不会太重。比起单独记意思，更值得留意的是例句里它出现时整句是叙述、判断还是描写，这会直接影响它用出来的质感。,2026-05-03 06:26:08.744074+00:00
